player_id,team,position,season
00-0022531,SEA,OL,2024
00-0023459,NYJ,QB,2024
00-0023742,SEA,P,2024
00-0023853,ARI,K,2024
00-0024243,CHI,TE,2024
00-0025565,TEN,K,2024
00-0026027,CAR,LS,2024
00-0026143,ATL,QB,2024
00-0026158,IND,QB,2024
00-0026190,MIA,DL,2024
00-0026300,BAL,QB,2024
00-0026498,LA,QB,2024
00-0026858,NYG,K,2024
00-0027114,NYJ,P,2024
00-0027187,MIA,LS,2024
00-0027224,HOU,LS,2024
00-0027557,TEN,LS,2024
00-0027857,SF,OL,2024
00-0027865,PHI,DL,2024
00-0027872,BUF,DB,2024
00-0027881,HOU,DL,2024
00-0027885,DAL,DL,2024
00-0027940,BUF,DL,2024
00-0027947,NYJ,OL,2024
00-0027962,NO,DL,2024
00-0027969,PIT,DL,2024
00-0027973,CAR,QB,2024
00-0028118,NYJ,QB,2024
00-0028129,PHI,OL,2024
00-0028171,CIN,DL,2024
00-0028284,CHI,LS,2024
00-0028292,WAS,LB,2024
00-0028394,MIA,LS,2024
00-0028845,LAC,LS,2024
00-0028872,CAR,P,2024
00-0028899,CLE,DB,2024
00-0028924,SF,DB,2024
00-0028946,ARI,LS,2024
00-0028986,HOU,QB,2024
00-0029008,CLE,LS,2024
00-0029255,WAS,LB,2024
00-0029263,PIT,QB,2024
00-0029316,ARI,OL,2024
00-0029542,MIN,DB,2024
00-0029562,TB,LB,2024
00-0029592,DET,OL,2024
00-0029597,BAL,K,2024
00-0029604,ATL,QB,2024
00-0029606,MIN,DB,2024
00-0029607,NO,LB,2024
00-0029621,NYJ,K,2024
00-0029653,PHI,DL,2024
00-0029685,NYG,OL,2024
00-0029692,DAL,P,2024
00-0029709,LA,OL,2024
00-0029714,MIN,LS,2024
00-0029822,GB,K,2024
00-0029892,SF,RB,2024
00-0029895,TB,OL,2024
00-0029963,NYG,OL,2024
00-0030035,CAR,WR,2024
00-0030061,WAS,TE,2024
00-0030062,PHI,DB,2024
00-0030063,SEA,DL,2024
00-0030067,MIA,OL,2024
00-0030070,LV,DL,2024
00-0030090,BUF,DB,2024
00-0030092,BUF,P,2024
00-0030097,MIN,OL,2024
00-0030098,CLE,K,2024
00-0030114,MIA,DB,2024
00-0030140,WAS,P,2024
00-0030279,CHI,WR,2024
00-0030294,LAC,DB,2024
00-0030386,TB,DL,2024
00-0030431,HOU,WR,2024
00-0030459,NO,DB,2024
00-0030500,SF,DL,2024
00-0030506,KC,TE,2024
00-0030561,PHI,OL,2024
00-0030564,KC,WR,2024
00-0030565,SEA,QB,2024
00-0030578,PIT,RB,2024
00-0030615,KC,LS,2024
00-0030694,NO,OL,2024
00-0030725,WAS,OL,2024
00-0030757,KC,DL,2024
00-0030827,JAX,OL,2024
00-0030957,NYG,LS,2024
00-0031019,LAC,OL,2024
00-0031040,LAC,DL,2024
00-0031054,BUF,DL,2024
00-0031067,DEN,OL,2024
00-0031079,SF,P,2024
00-0031101,TB,LB,2024
00-0031136,PIT,K,2024
00-0031156,WAS,LS,2024
00-0031177,BAL,DL,2024
00-0031203,CHI,K,2024
00-0031235,MIA,WR,2024
00-0031236,DAL,WR,2024
00-0031237,DET,QB,2024
00-0031254,HOU,DL,2024
00-0031260,SF,TE,2024
00-0031270,CLE,DL,2024
00-0031279,ATL,OL,2024
00-0031280,NO,QB,2024
00-0031296,NYJ,LB,2024
00-0031298,HOU,DB,2024
00-0031299,CAR,TE,2024
00-0031330,NYJ,OL,2024
00-0031345,LA,QB,2024
00-0031357,DAL,DB,2024
00-0031360,BAL,LB,2024
00-0031361,CLE,LB,2024
00-0031363,ARI,P,2024
00-0031364,CAR,LB,2024
00-0031373,WAS,WR,2024
00-0031381,NYJ,WR,2024
00-0031388,LA,DL,2024
00-0031402,DAL,OL,2024
00-0031408,TB,WR,2024
00-0031411,DAL,DL,2024
00-0031426,CLE,OL,2024
00-0031428,DET,WR,2024
00-0031484,NYG,TE,2024
00-0031492,SEA,K,2024
00-0031500,WAS,DL,2024
00-0031503,CLE,QB,2024
00-0031534,BUF,OL,2024
00-0031544,BUF,WR,2024
00-0031547,PHI,WR,2024
00-0031549,BAL,WR,2024
00-0031550,CAR,LB,2024
00-0031551,ATL,DL,2024
00-0031554,DAL,LB,2024
00-0031555,PIT,DB,2024
00-0031557,BUF,DL,2024
