player_id,player_name,position,team,status,height,weight,college,years_exp
4579,Josh Banderas,OLB,DEN,Active,"6'3""",239,Nebraska,0.0
2133,Davante Adams,WR,LAR,Active,73,204,Fresno State,12.0
96,Aaron Rodgers,QB,PIT,Active,74,223,California,21.0
5872,Deebo Samuel,WR,WAS,Active,72,215,South Carolina,7.0
7841,Jamien Sherwood,LB,NYJ,Active,74,216,Auburn,5.0
8344,Jonathan Ford,DL,GB,Active,77,338,Miami (FL),4.0
7285,Donald Rutledge,LB,ARI,Active,73,210,Georgia Southern,2.0
13069,Kristian Williams,DT,DEN,Active,74,295,Missouri,1.0
3527,Kevin Peterson,CB,ARI,Active,71,179,Oklahoma State,6.0
12941,Bryson Nesbit,TE,MIN,Active,77,228,North Carolina,1.0
9480,Brenton Strange,TE,JAX,Active,76,253,Penn State,3.0
12545,Tyler Shough,QB,NO,Active,77,219,Louisville,1.0
8271,Derion Kendrick,DB,LAR,Active,72,190,Georgia,4.0
8274,LaBryan Ray,DL,CAR,Active,76,290,Alabama,4.0
827,Tyrod Taylor,QB,NYJ,Active,73,217,Virginia Tech,15.0
6650,Chase McLaughlin,K,TB,Active,72,190,Illinois,7.0
4892,Baker Mayfield,QB,TB,Active,73,215,Oklahoma,8.0
3227,T.J. Green,DB,HOU,Active,74,205,Clemson,6.0
1443,Johnathan Cyprien,SS,JAX,Active,73,211,Florida International,11.0
10895,O'Cyrus Torrence,OL,BUF,Active,77,347,Florida,3.0
6875,John Simpson,G,NYJ,Active,76,330,Clemson,6.0
4278,D.J. Jones,DT,DEN,Active,72,305,Ole Miss,9.0
8145,Jeremy Ruckert,TE,NYJ,Active,77,250,Ohio State,4.0
8678,Andrew Rupcich,OT,NE,Active,78,325,Culver-Stockton,4.0
12518,Tyler Warren,TE,IND,Active,78,256,Penn State,1.0
11261,Andre Szmyt,K,CLE,Active,72,200,Syracuse,4.0
13264,Dohnte Meyers,WR,CIN,Active,71,186,Delta State,3.0
7106,Lawrence Cager,TE,WAS,Active,77,220,Georgia,6.0
11669,Laiatu Latu,DL,IND,Active,77,265,UCLA,2.0
12643,Kyle Kennard,DE,LAC,Active,77,254,South Carolina,1.0
11443,Alex Palczewski,T,DEN,Active,78,314,Illinois,3.0
8295,Zachary Carter,DL,ARI,Active,76,290,Florida,4.0
11951,Beau Brade,DB,NYG,Active,72,209,Maryland,2.0
12613,Tate Ratledge,OL,DET,Active,78,315,Georgia,1.0
12689,JJ Pegues,DT,LV,Active,74,325,Ole Miss,1.0
8359,Marcus Jones,DB,NE,Active,68,188,Houston,4.0
11693,Max Melton,DB,ARI,Active,71,187,Rutgers,2.0
11243,David Ebuka Agoha,DL,TEN,Active,76,252,,3.0
7010,Calvin Throckmorton,OL,DEN,Active,77,311,Oregon,6.0
9506,Sean Tucker,RB,TB,Active,70,205,Syracuse,3.0
7607,Michael Carter,RB,ARI,Active,68,201,North Carolina,5.0
8167,Christian Watson,WR,GB,Active,76,208,North Dakota State,4.0
8517,Rodney Thomas,LB,IND,Active,73,196,Yale,4.0
8388,Troy Andersen,LB,ATL,Active,76,245,Montana State,4.0
6836,A.J. Terrell,CB,ATL,Active,73,200,Clemson,6.0
7113,Alex Highsmith,LB,PIT,Active,76,242,Charlotte,6.0
12897,Nathan Carter,RB,ATL,Active,70,202,Michigan State,1.0
5223,Caleb Scott,WR,TEN,Active,74,203,Vanderbilt,4.0
12509,Tre' Harris,WR,LAC,Active,75,210,Ole Miss,1.0
5947,Jakobi Meyers,WR,JAX,Active,74,200,North Carolina State,7.0
4063,Haason Reddick,LB,TB,Active,73,240,Temple,9.0
12946,Dontae Fleming,WR,MIN,Active,74,180,Tulane,1.0
6610,Demetrius Flannigan-Fowles,LB,NYG,Active,74,223,Arizona,7.0
3222,Deion Jones,LB,TB,Active,73,222,LSU,10.0
11651,Isaac Guerendo,RB,SF,Active,72,221,Louisville,2.0
6183,Andrew Van Ginkel,LB,MIN,Active,76,242,Wisconsin,7.0
8736,Elijah Garcia,DT,ATL,Active,77,302,Rice,4.0
11905,Dwight McGlothern,DB,MIN,Active,74,185,Arkansas,2.0
5871,Zach Allen,DE,DEN,Active,77,285,Boston College,7.0
11659,Graham Barton,OL,TB,Active,77,314,Duke,2.0
8272,Channing Tindall,LB,ARI,Active,74,232,Georgia,4.0
12664,Jackson Slater,OL,TEN,Active,75,311,Sacramento State,1.0
