player_id,team,position,season
00-0033066,CHI,DL,2025
00-0033072,ATL,DL,2025
00-0033073,JAX,DL,2025
00-0033077,DAL,QB,2025
00-0033082,CIN,OL,2025
00-0033084,DET,DB,2025
00-0033090,NE,TE,2025
00-0033093,NO,DL,2025
00-0033096,BUF,DL,2025
00-0033103,MIA,DB,2025
00-0033106,DET,QB,2025
00-0033109,MIN,DL,2025
00-0033110,LA,TE,2025
00-0033119,ARI,QB,2025
00-0033120,DAL,DL,2025
00-0033131,CLE,DL,2025
00-0033132,CHI,DB,2025
00-0033156,BUF,DL,2025
00-0033196,WAS,LS,2025
00-0033217,IND,TE,2025
00-0033221,MIA,OL,2025
00-0033246,JAX,TE,2025
00-0033260,NYJ,LS,2025
00-0033269,IND,P,2025
00-0033280,SF,RB,2025
00-0033281,BAL,DB,2025
00-0033282,BUF,WR,2025
00-0033284,CAR,OL,2025
00-0033288,SF,TE,2025
00-0033290,NYG,OL,2025
00-0033292,SF,WR,2025
00-0033293,MIN,RB,2025
00-0033294,PIT,DB,2025
00-0033297,DEN,DL,2025
00-0033300,HOU,OL,2025
00-0033303,KC,K,2025
00-0033307,SF,WR,2025
00-0033319,JAX,QB,2025
00-0033336,MIN,LB,2025
00-0033347,BAL,DL,2025
00-0033357,NO,QB,2025
00-0033375,JAX,WR,2025
00-0033376,BAL,RB,2025
00-0033381,LV,DL,2025
00-0033393,IND,DB,2025
00-0033400,ARI,P,2025
00-0033439,ARI,TE,2025
00-0033455,DET,TE,2025
00-0033463,BAL,DL,2025
00-0033503,DET,DB,2025
00-0033512,DET,DB,2025
00-0033523,MIN,DL,2025
00-0033526,CIN,RB,2025
00-0033536,LAC,WR,2025
00-0033537,CLE,QB,2025
00-0033538,DEN,OL,2025
00-0033546,ARI,DL,2025
00-0033547,DET,LB,2025
00-0033548,BAL,DB,2025
00-0033549,WAS,LB,2025
00-0033551,MIA,DB,2025
00-0033553,ARI,RB,2025
00-0033555,NE,WR,2025
00-0033557,CHI,LB,2025
00-0033563,TEN,DL,2025
00-0033570,TB,LB,2025
00-0033571,BUF,LB,2025
00-0033572,WAS,WR,2025
00-0033576,SEA,TE,2025
00-0033579,TEN,DB,2025
00-0033582,NYG,DL,2025
00-0033589,CAR,WR,2025
00-0033591,WAS,WR,2025
00-0033595,DET,DL,2025
00-0033662,BAL,QB,2025
00-0033676,ATL,OL,2025
00-0033697,NO,DB,2025
00-0033699,WAS,RB,2025
00-0033702,NYG,K,2025
00-0033729,NYG,P,2025
00-0033752,ATL,OL,2025
00-0033757,KC,TE,2025
00-0033782,WAS,DL,2025
00-0033783,LA,DB,2025
00-0033787,PHI,K,2025
00-0033793,TEN,OL,2025
00-0033831,WAS,OL,2025
00-0033854,HOU,RB,2025
00-0033857,KC,WR,2025
00-0033858,PIT,TE,2025
00-0033860,NO,DL,2025
00-0033862,ATL,K,2025
00-0033863,DET,OL,2025
00-0033868,CLE,DL,2025
00-0033869,BUF,QB,2025
00-0033870,DAL,DL,2025
00-0033872,LV,LB,2025
00-0033873,KC,QB,2025
00-0033874,WAS,DB,2025
00-0033875,TB,LB,2025
00-0033876,HOU,DL,2025
00-0033877,DAL,DB,2025
00-0033878,PHI,DB,2025
00-0033881,DEN,TE,2025
00-0033883,PIT,DB,2025
00-0033884,BUF,DB,2025
00-0033885,CLE,TE,2025
